order_id,assigned,created,delivered,picked,city,service_type,pickup_lat,pickup_lon,drop_lat,drop_lon,created_at,promised_at,delivered_at,distance_km,eta_minutes,is_late,pickup_hour,temp_c,rain_mm,wind_kmph
O1,2025-07-01 11:16:00,2025-07-01 11:14:00,2025-07-01 11:35:00,2025-07-01 11:25:00,KHI,grocery,24.80302,67.02307,24.84846685176224,67.05141074248749,2025-07-01 11:14:00,2025-07-01 11:44:00,2025-07-01 11:35:00,10.28,21.5,0,2025-07-01 11:00:00,32.9,0.0,13
O10,2025-07-01 21:35:00,2025-07-01 21:33:00,2025-07-01 21:38:00,2025-07-01 21:42:00,LHR,food,31.45807,74.31694,31.47732119713264,74.33668284503459,2025-07-01 21:33:00,2025-07-01 22:03:00,2025-07-01 21:38:00,1.89,1.6,0,2025-07-01 21:00:00,24.2,0.0,8
O100,2025-07-01 21:24:00,2025-07-01 21:21:00,2025-07-01 21:32:00,2025-07-01 21:32:00,KHI,grocery,24.92562,67.04845,24.971180487604435,67.06487534450474,2025-07-01 21:21:00,2025-07-01 22:01:00,2025-07-01 21:32:00,4.73,11.8,0,2025-07-01 21:00:00,33.6,0.0,5
O1000,2025-07-05 17:07:00,2025-07-05 17:05:00,2025-07-05 17:24:00,2025-07-05 17:13:00,ISB,parcel,33.65855,73.02166,33.70232692109041,73.05692213941768,2025-07-05 17:05:00,2025-07-05 17:35:00,2025-07-05 17:24:00,7.81,19.3,0,2025-07-05 17:00:00,28.7,0.63,9
O1001,2025-07-06 09:13:00,2025-07-06 09:09:00,2025-07-06 09:14:00,2025-07-06 09:20:00,KHI,grocery,24.91423,67.10443,24.933787152683117,67.11917293732164,2025-07-06 09:09:00,2025-07-06 09:54:00,2025-07-06 09:14:00,1.08,2.3,0,2025-07-06 09:00:00,27.3,0.0,8
O1002,2025-07-06 11:08:00,2025-07-06 11:05:00,2025-07-06 11:31:00,2025-07-06 11:14:00,KHI,parcel,24.84164,67.08556,24.861660337435435,67.10800821437313,2025-07-06 11:05:00,2025-07-06 11:45:00,2025-07-06 11:31:00,9.44,26.9,0,2025-07-06 11:00:00,32.7,0.0,10
O1003,2025-07-06 19:31:00,2025-07-06 19:30:00,2025-07-06 20:10:00,2025-07-06 19:38:00,KHI,food,24.86495,67.09699,24.8858271814983,67.12235427258703,2025-07-06 19:30:00,2025-07-06 20:30:00,2025-07-06 20:10:00,14.13,40.9,0,2025-07-06 19:00:00,30.1,0.0,5
O1004,2025-07-06 14:56:00,2025-07-06 14:53:00,2025-07-06 15:12:00,2025-07-06 15:04:00,ISB,parcel,33.651,73.03385,33.67694537339383,73.0574169448001,2025-07-06 14:53:00,2025-07-06 15:53:00,2025-07-06 15:12:00,9.86,19.9,0,2025-07-06 14:00:00,25.6,1.34,8
O1005,2025-07-06 13:14:00,2025-07-06 13:11:00,2025-07-06 13:35:00,2025-07-06 13:20:00,ISB,grocery,33.68156,73.09911,33.7088172586815,73.14390196614369,2025-07-06 13:11:00,2025-07-06 14:11:00,2025-07-06 13:35:00,12.7,24.4,0,2025-07-06 13:00:00,25.4,0.0,11
O1006,2025-07-06 15:36:00,2025-07-06 15:33:00,2025-07-06 15:59:00,2025-07-06 15:43:00,LHR,grocery,31.45549,74.26864,31.49536081778478,74.29165875954708,2025-07-06 15:33:00,2025-07-06 16:03:00,2025-07-06 15:59:00,11.04,26.7,0,2025-07-06 15:00:00,26.0,0.0,2
O1007,2025-07-06 15:35:00,2025-07-06 15:31:00,2025-07-06 15:44:00,2025-07-06 15:41:00,KHI,parcel,24.9108,67.14382,24.95529086917412,67.16053570767221,2025-07-06 15:31:00,2025-07-06 16:31:00,2025-07-06 15:44:00,3.41,13.1,0,2025-07-06 15:00:00,33.8,0.67,11
O1008,2025-07-06 21:32:00,2025-07-06 21:28:00,2025-07-06 21:33:00,2025-07-06 21:41:00,ISB,parcel,33.73502,73.09323,33.769069442318354,73.10896682410161,2025-07-06 21:28:00,2025-07-06 22:13:00,2025-07-06 21:33:00,3.44,2.6,0,2025-07-06 21:00:00,26.9,0.0,2
