order_id,event_type,event_ts
O1,created,2025-07-01 11:14:00
O1,assigned,2025-07-01 11:16:00
O1,picked,2025-07-01 11:25:00
O1,delivered,2025-07-01 11:35:00
O2,created,2025-07-01 15:02:00
O2,assigned,2025-07-01 15:03:00
O2,picked,2025-07-01 15:10:00
O2,delivered,2025-07-01 15:09:00
O3,created,2025-07-01 19:36:00
O3,assigned,2025-07-01 19:40:00
O3,picked,2025-07-01 19:45:00
O3,delivered,2025-07-01 19:49:00
O4,created,2025-07-01 15:38:00
O4,assigned,2025-07-01 15:39:00
O4,picked,2025-07-01 15:44:00
O4,delivered,2025-07-01 15:43:00
O5,created,2025-07-01 16:12:00
O5,assigned,2025-07-01 16:16:00
O5,picked,2025-07-01 16:22:00
O5,delivered,2025-07-01 16:21:00
O6,created,2025-07-01 11:04:00
O6,assigned,2025-07-01 11:07:00
O6,picked,2025-07-01 11:12:00
O6,delivered,2025-07-01 11:09:00
O7,created,2025-07-01 08:18:00
O7,assigned,2025-07-01 08:21:00
O7,picked,2025-07-01 08:28:00
O7,delivered,2025-07-01 08:45:00
O8,created,2025-07-01 09:27:00
O8,assigned,2025-07-01 09:28:00
O8,picked,2025-07-01 09:37:00
O8,delivered,2025-07-01 10:07:00
O9,created,2025-07-01 09:22:00
O9,assigned,2025-07-01 09:24:00
O9,picked,2025-07-01 09:29:00
O9,delivered,2025-07-01 09:58:00
O10,created,2025-07-01 21:33:00
O10,assigned,2025-07-01 21:35:00
O10,picked,2025-07-01 21:42:00
O10,delivered,2025-07-01 21:38:00
O11,created,2025-07-01 16:44:00
O11,assigned,2025-07-01 16:47:00
O11,picked,2025-07-01 16:55:00
O11,delivered,2025-07-01 17:11:00
O12,created,2025-07-01 08:26:00
O12,assigned,2025-07-01 08:27:00
O12,picked,2025-07-01 08:33:00
O12,delivered,2025-07-01 08:38:00
O13,created,2025-07-01 12:47:00
O13,assigned,2025-07-01 12:51:00
O13,picked,2025-07-01 12:58:00
O13,delivered,2025-07-01 13:19:00
O14,created,2025-07-01 08:59:00
O14,assigned,2025-07-01 09:01:00
O14,picked,2025-07-01 09:07:00
O14,delivered,2025-07-01 09:22:00
O15,created,2025-07-01 15:14:00
O15,assigned,2025-07-01 15:17:00
O15,picked,2025-07-01 15:26:00
O15,delivered,2025-07-01 15:20:00
O16,created,2025-07-01 21:51:00
O16,assigned,2025-07-01 21:55:00
O16,picked,2025-07-01 22:00:00
O16,delivered,2025-07-01 22:15:00
O17,created,2025-07-01 20:24:00
O17,assigned,2025-07-01 20:28:00
O17,picked,2025-07-01 20:35:00
O17,delivered,2025-07-01 20:34:00
O18,created,2025-07-01 20:19:00
O18,assigned,2025-07-01 20:23:00
O18,picked,2025-07-01 20:29:00
O18,delivered,2025-07-01 20:35:00
O19,created,2025-07-01 09:03:00
O19,assigned,2025-07-01 09:05:00
O19,picked,2025-07-01 09:10:00
O19,delivered,2025-07-01 09:28:00
O20,created,2025-07-01 16:36:00
O20,assigned,2025-07-01 16:37:00
O20,picked,2025-07-01 16:44:00
O20,delivered,2025-07-01 16:42:00
O21,created,2025-07-01 13:58:00
O21,assigned,2025-07-01 14:00:00
O21,picked,2025-07-01 14:05:00
O21,delivered,2025-07-01 14:03:00
O22,created,2025-07-01 18:42:00
O22,assigned,2025-07-01 18:45:00
O22,picked,2025-07-01 18:53:00
O22,delivered,2025-07-01 19:13:00
O23,created,2025-07-01 15:55:00
O23,assigned,2025-07-01 15:59:00
O23,picked,2025-07-01 16:05:00
O23,delivered,2025-07-01 16:20:00
O24,created,2025-07-01 08:14:00
O24,assigned,2025-07-01 08:16:00
O24,picked,2025-07-01 08:22:00
O24,delivered,2025-07-01 08:39:00
O25,created,2025-07-01 13:21:00
O25,assigned,2025-07-01 13:25:00
O25,picked,2025-07-01 13:30:00
O25,delivered,2025-07-01 14:00:00
O26,created,2025-07-01 18:46:00
O26,assigned,2025-07-01 18:50:00
O26,picked,2025-07-01 18:58:00
O26,delivered,2025-07-01 19:07:00
O27,created,2025-07-01 15:46:00
O27,assigned,2025-07-01 15:48:00
O27,picked,2025-07-01 15:53:00
O27,delivered,2025-07-01 15:53:00
O28,created,2025-07-01 11:28:00
O28,assigned,2025-07-01 11:30:00
O28,picked,2025-07-01 11:36:00
O28,delivered,2025-07-01 11:58:00
O29,created,2025-07-01 21:55:00
O29,assigned,2025-07-01 21:59:00
O29,picked,2025-07-01 22:06:00
O29,delivered,2025-07-01 22:04:00
O30,created,2025-07-01 12:28:00
O30,assigned,2025-07-01 12:29:00
O30,picked,2025-07-01 12:38:00
O30,delivered,2025-07-01 12:37:00
O31,created,2025-07-01 19:00:00
O31,assigned,2025-07-01 19:04:00
O31,picked,2025-07-01 19:11:00
O31,delivered,2025-07-01 19:33:00
O32,created,2025-07-01 19:14:00
O32,assigned,2025-07-01 19:16:00
O32,picked,2025-07-01 19:22:00
O32,delivered,2025-07-01 19:59:00
O33,created,2025-07-01 16:19:00
O33,assigned,2025-07-01 16:22:00
O33,picked,2025-07-01 16:31:00
O33,delivered,2025-07-01 16:35:00
O34,created,2025-07-01 14:25:00
O34,assigned,2025-07-01 14:28:00
O34,picked,2025-07-01 14:35:00
O34,delivered,2025-07-01 14:39:00
O35,created,2025-07-01 14:37:00
O35,assigned,2025-07-01 14:39:00
O35,picked,2025-07-01 14:48:00
O35,delivered,2025-07-01 14:59:00
O36,created,2025-07-01 16:40:00
O36,assigned,2025-07-01 16:42:00
O36,picked,2025-07-01 16:49:00
O36,delivered,2025-07-01 17:11:00
O37,created,2025-07-01 14:09:00
O37,assigned,2025-07-01 14:11:00
O37,picked,2025-07-01 14:19:00
O37,delivered,2025-07-01 14:22:00
O38,created,2025-07-01 17:50:00
O38,assigned,2025-07-01 17:53:00
O38,picked,2025-07-01 18:00:00
O38,delivered,2025-07-01 18:20:00
O39,created,2025-07-01 11:49:00
O39,assigned,2025-07-01 11:52:00
O39,picked,2025-07-01 11:57:00
O39,delivered,2025-07-01 12:27:00
O40,created,2025-07-01 17:24:00
O40,assigned,2025-07-01 17:25:00
O40,picked,2025-07-01 17:30:00
O40,delivered,2025-07-01 17:42:00
O41,created,2025-07-01 21:23:00
O41,assigned,2025-07-01 21:24:00
O41,picked,2025-07-01 21:29:00
O41,delivered,2025-07-01 21:30:00
O42,created,2025-07-01 12:17:00
O42,assigned,2025-07-01 12:19:00
O42,picked,2025-07-01 12:25:00
O42,delivered,2025-07-01 13:08:00
O43,created,2025-07-01 08:28:00
O43,assigned,2025-07-01 08:30:00
O43,picked,2025-07-01 08:37:00
O43,delivered,2025-07-01 08:53:00
O44,created,2025-07-01 18:14:00
O44,assigned,2025-07-01 18:16:00
O44,picked,2025-07-01 18:24:00
O44,delivered,2025-07-01 18:38:00
O45,created,2025-07-01 10:16:00
O45,assigned,2025-07-01 10:20:00
O45,picked,2025-07-01 10:25:00
O45,delivered,2025-07-01 10:27:00
O46,created,2025-07-01 15:51:00
O46,assigned,2025-07-01 15:55:00
O46,picked,2025-07-01 16:04:00
O46,delivered,2025-07-01 16:08:00
O47,created,2025-07-01 17:07:00
O47,assigned,2025-07-01 17:11:00
O47,picked,2025-07-01 17:19:00
O47,delivered,2025-07-01 17:44:00
O48,created,2025-07-01 14:32:00
O48,assigned,2025-07-01 14:36:00
O48,picked,2025-07-01 14:44:00
O48,delivered,2025-07-01 15:02:00
O49,created,2025-07-01 19:25:00
O49,assigned,2025-07-01 19:26:00
O49,picked,2025-07-01 19:32:00
O49,delivered,2025-07-01 19:47:00
O50,created,2025-07-01 17:08:00
